Feature,Importance
PC6,0.02576894005465434
PC100,0.021477992906564335
PC97,0.019373219373219373
PC11,0.018989476132333274
PC10,0.017570788999360428
PC15,0.01731496017210303
PC98,0.01703587417873132
PC3,0.016349787778359208
PC99,0.01589627303913018
PC55,0.015361358218501075
PC7,0.014814814814814815
PC1,0.014756671899529042
PC20,0.014686900401186115
PC29,0.01410547124832839
PC93,0.013872899587185301
PC18,0.013256584685156114
PC58,0.01298912727484156
PC76,0.012337926623640909
PC17,0.011779754636897495
PC34,0.011675097389383104
PC96,0.011442525728240014
PC4,0.01140763997906855
PC79,0.011337868480725623
PC38,0.01132623989766847
PC16,0.01127972556543985
PC95,0.011151811151811152
PC69,0.01109366823652538
PC75,0.01107041107041107
PC74,0.010826210826210826
PC82,0.010779696493982208
PC66,0.010651782080353509
PC31,0.010570381998953427
PC78,0.01039595325309611
PC44,0.010151753008895866
PC84,0.010081981510552939
PC90,0.009884295598581313
PC83,0.009814524100238385
PC42,0.009721495435781151
PC21,0.009674981103552532
PC51,0.009581952439095296
PC87,0.009512180940752369
PC48,0.009407523693237978
PC5,0.00938426652712367
PC70,0.009372637944066516
PC23,0.009256352113494971
PC27,0.009221466364323506
PC12,0.009163323449037735
PC57,0.009140066282923427
PC25,0.009058666201523345
PC9,0.008988894703180417
PC77,0.008977266120123263
PC88,0.008895866038723181
PC59,0.008849351706494564
PC26,0.008791208791208791
PC62,0.008698180126751555
PC64,0.008686551543694401
PC86,0.008686551543694401
PC89,0.008663294377580092
PC80,0.008651665794522938
PC68,0.008558637130065702
PC36,0.008547008547008548
PC92,0.008500494214779929
PC81,0.008500494214779929
PC40,0.008465608465608466
PC2,0.008442351299494156
PC54,0.008419094133379847
PC91,0.008407465550322693
PC85,0.008233036804465375
PC94,0.008221408221408221
PC53,0.008198151055293913
PC30,0.008151636723065294
PC14,0.007930693644979359
PC8,0.007895807895807896
PC50,0.007895807895807896
PC13,0.007872550729693588
PC72,0.007860922146636432
PC63,0.00780277923135066
PC47,0.007709750566893424
PC46,0.0076748648177219604
PC33,0.0076283504854933425
PC24,0.00733763590906448
PC52,0.007326007326007326
PC60,0.007151578580150008
PC28,0.006884121169835456
PC56,0.006779463922321065
PC67,0.006628292342578057
PC19,0.006581778010349439
PC32,0.006535263678120821
PC41,0.006523635095063667
PC49,0.006488749345892203
PC71,0.006430606430606431
PC43,0.006395720681434967
PC65,0.0062212919355776495
PC45,0.006151520437234723
PC73,0.005953834525263097
PC22,0.005872434443863015
PC61,0.005604977033548462
PC35,0.005488691202976917
PC39,0.00484911913483342
PC37,0.0048142333856619575
